S.No.,Circle,Name of the aspirational district
1,Andhra Pradesh,Visakhapatnam
2,Andhra Pradesh,Vizainagram
3,Andhra Pradesh,cuddapah
4,Assam,Darrang
5,Assam,Dhubri
6,Assam,Barpeta
7,Assam,Goalpara
8,Assam,Hailakandi
9,Assam,Udalgiri
10,Assam,Baksa
11,Bihar Circle,Purnia
12,Bihar Circle,Araria
13,Bihar Circle,Nawada
14,Bihar Circle,Sheikhpura
15,Bihar Circle,Begusarai
16,Bihar Circle,Khagaria
17,Bihar Circle,Katihar
18,Bihar Circle,Sitamarhi
19,Bihar Circle,Aurangabad
20,Bihar Circle,Banka
21,Bihar Circle,Jamui
22,Bihar Circle,Muzaffarpur
23,Bihar Circle,Gaya
24,Chhattisgarh,Korba
25,Chhattisgarh,Mahasamund
26,Chhattisgarh,Rajnandgaon
27,Chhattisgarh,Bastar
28,Chhattisgarh,Bijapur
29,Chhattisgarh,Dantewade
30,Chhattisgarh,Kanker
31,Chhattisgarh,Kondagaon
32,Chhattisgarh,Narayanpur
33,Chhattisgarh,Sukma
34,Gujarat,Narmada
35,Gujarat,Dahod
36,Haryana,Mewat
37,Himachal Pradesh,Chamba
38,Jammu & Kashmir,Kupwara
39,Jammu & Kashmir,Baramula
40,Jharkhand,Sahebganj
41,Jharkhand,Pakaur
42,Jharkhand,Godda
43,Jharkhand,Latehar
44,Jharkhand,Lohardaga
45,Jharkhand,Palamu
46,Jharkhand,Purbisinghbhum
47,Jharkhand,Ramgarh
48,Jharkhand,Ranchi
49,Jharkhand,Simdega
50,Jharkhand,West Singbhum
51,Jharkhand,Bokaro
52,Jharkhand,Chatra
53,Jharkhand,Dumka
54,Jharkhand,Garhwa
55,Jharkhand,Girdih
56,Jharkhand,Gumla
57,Jharkhand,Hazaribagh
58,Jharkhand,Khunti
59,Karnataka,Yadgir
60,Karnataka,Raichur
61,Kerala,Wayanad
62,Madhya Pradesh,Guna
63,Madhya Pradesh,Vidisha
64,Madhya Pradesh,Khandwa
65,Madhya Pradesh,Barwani
66,Madhya Pradesh,Singrauli
67,Madhya Pradesh,Rajgarh
68,Madhya Pradesh,Chhatarpur
69,Madhya Pradesh,Damoh
70,Maharashtra,Nandurbar
71,Maharashtra,Washim
72,Maharashtra,Osamanabad
73,Maharashtra,Gadcharoli
74,North East,Namsai (Arunachal)
75,North East,Dhalai (Tripura)
76,North East,Chandel (Manipur)
77,North East,Ribhoi (Meghalaya)
78,North East,Mamit (Mizoram)
79,North East,Kiphire (Nagaland)
80,Odisha,Koraput
81,Odisha,Malkangiri
82,Odisha,Rayagada
83,Odisha,Gajapati
84,Odisha,Kalahandi
85,Odisha,Balangiri
86,Odisha,Dhenkanal
87,Odisha,Kandhamal
88,Punjab,Firozpur
89,Punjab,Moga
90,Rajasthan,Baran
91,Rajasthan,Jaisalmer
92,Rajasthan,Dholpur
93,Rajasthan,Karauli
94,Rajasthan,Sirohi
95,Tamilnadu,Ramanathapuram
96,Tamilnadu,Virudhunagar
97,Telengana,Asifabad
98,Telengana,Khammam
99,Telengana,Bhoopalpalli
100,Uttar Pradesh,Sonbhadra
101,Uttar Pradesh,Balrampur
102,Uttar Pradesh,Bahraich
103,Uttar Pradesh,Shrawasti
104,Uttar Pradesh,Siddharthnagar
105,Uttar Pradesh,Chitrakoot
106,Uttar Pradesh,Fatehpur
107,Uttar Pradesh,Chandauli
108,Uttarakhand,Haridwar
109,Uttarakhand,Udham Singh Naagar
110,West Bengal,Murshidabad
111,West Bengal,Maldah
112,West Bengal,Birbhum
113,West Bengal,Nadia
114,West Bengal,Dakshin Dinajpur
115,West Bengal,West Sikkim
