S.No.,Name of the Circle,No. of the aspirational district,No. of BOs where DARPAN is rolled out
1,Andhra Pradesh,3,1830
2,Assam,7,569
3,Bihar Circle,13,2725
4,Chhattisgarh,10,920
5,Gujarat,2,359
6,Haryana,1,45
7,Himachal Pradesh,1,195
8,Jammu & Kashmir,2,0
9,Jharkhand,19,1772
10,Karnataka,2,419
11,Kerala,1,142
12,Madhya Pradesh,8,1060
13,Maharashtra,4,760
14,North East,6,168
15,Odisha,8,2045
16,Punjab,2,248
17,Rajasthan,5,788
18,Tamilnadu,2,417
19,Telengana,3,464
20,Uttar Pradesh,8,1233
21,Uttarakhand,2,154
22,West Bengal,6,1748
Total,,115,18061
