S.No.,Name of the Circle,No. of the aspirational district,No. of Panchayat Sanchaar Seva Kendras functioning
1,Andhra Pradesh,3,1
2,Assam,7,24
3,Bihar Circle,13,234
4,Chhattisgarh,10,0
5,Gujarat,2,1
6,Haryana,1,0
7,Himachal Pradesh,1,6
8,Jammu & Kashmir,2,8
9,Jharkhand,19,4
10,Karnataka,2,1
11,Kerala,1,0
12,Madhya Pradesh,8,18
13,Maharashtra,4,1
14,North East,6,0
15,Odisha,8,42
16,Punjab,2,0
17,Rajasthan,5,0
18,Tamilnadu,2,0
19,Telengana,3,0
20,Uttar Pradesh,8,66
21,Uttarakhand,2,5
22,West Bengal,6,0
Total,,115,411
24,Chhattisgarh,Korba,0
25,Chhattisgarh,Mahasamund,0
26,Chhattisgarh,Rajnandgaon,0
27,Chhattisgarh,Bastar,0
28,Chhattisgarh,Bijapur,0
29,Chhattisgarh,Dantewade,0
30,Chhattisgarh,Kanker,0
31,Chhattisgarh,Kondagaon,0
32,Chhattisgarh,Narayanpur,0
33,Chhattisgarh,Sukma,0
34,Gujarat,Narmada,0
35,Gujarat,Dahod,1
36,Haryana,Mewat,0
37,Himachal Pradesh,Chamba,6
38,Jammu & Kashmir,Kupwara,2
39,Jammu & Kashmir,Baramula,6
40,Jharkhand,Sahebganj,0
41,Jharkhand,Pakaur,0
42,Jharkhand,Godda,1
43,Jharkhand,Latehar,0
44,Jharkhand,Lohardaga,0
45,Jharkhand,Palamu,3
46,Jharkhand,Purbisinghbhum,0
47,Jharkhand,Ramgarh,0
48,Jharkhand,Ranchi,0
49,Jharkhand,Simdega,0
50,Jharkhand,West Singbhum,0
51,Jharkhand,Bokaro,0
52,Jharkhand,Chatra,0
53,Jharkhand,Dumka,0
54,Jharkhand,Garhwa,0
55,Jharkhand,Girdih,0
56,Jharkhand,Gumla,0
57,Jharkhand,Hazaribagh,0
58,Jharkhand,Khunti,0
59,Karnataka,Yadgir,0
60,Karnataka,Raichur,1
61,Kerala,Wayanad,0
62,Madhya Pradesh,Guna,0
63,Madhya Pradesh,Vidisha,7
64,Madhya Pradesh,Khandwa,0
65,Madhya Pradesh,Barwani,0
66,Madhya Pradesh,Singrauli,2
67,Madhya Pradesh,Rajgarh,0
68,Madhya Pradesh,Chhatarpur,0
69,Madhya Pradesh,Damoh,9
70,Maharashtra,Nandurbar,0
71,Maharashtra,Washim,1
72,Maharashtra,Osamanabad,0
73,Maharashtra,Gadcharoli,0
74,North East,Namsai (Arunachal),0
75,North East,Dhalai (Tripura),0
76,North East,Chandel (Manipur),0
77,North East,Ribhoi (Meghalaya),0
78,North East,Mamit (Mizoram),0
79,North East,Kiphire (Nagaland),0
80,Odisha,Koraput,7
81,Odisha,Malkangiri,2
82,Odisha,Rayagada,5
83,Odisha,Gajapati,4
84,Odisha,Kalahandi,2
85,Odisha,Balangiri,21
86,Odisha,Dhenkanal,1
87,Odisha,Kandhamal,0
88,Punjab,Firozpur,0
89,Punjab,Moga,0
90,Rajasthan,Baran,0
91,Rajasthan,Jaisalmer,0
92,Rajasthan,Dholpur,0
93,Rajasthan,Karauli,0
94,Rajasthan,Sirohi,0
95,Tamilnadu,Ramanathapuram,0
96,Tamilnadu,Virudhunagar,0
97,Telengana,Asifabad,0
98,Telengana,Khammam,0
99,Telengana,Bhoopalpalli,0
100,Uttar Pradesh,Sonbhadra,0
101,Uttar Pradesh,Balrampur,30
102,Uttar Pradesh,Bahraich,15
103,Uttar Pradesh,Shrawasti,0
104,Uttar Pradesh,Siddharthnagar,7
105,Uttar Pradesh,Chitrakoot,1
106,Uttar Pradesh,Fatehpur,13
107,Uttar Pradesh,Chandauli,0
108,Uttarakhand,Haridwar,1
109,Uttarakhand,Udham Singh Naagar,4
110,West Bengal,Murshidabad,0
111,West Bengal,Maldah,0
112,West Bengal,Birbhum,0
113,West Bengal,Nadia,0
114,West Bengal,Dakshin Dinajpur,0
115,West Bengal,West Sikkim,0
Total,,,411
