Date of Transaction,No of PLI Policy procurred_Male,No of PLI Policy procurred_Female,No of PLI Policy procurred_Others,No of RPLI Policy procurred_Male,No of RPLI Policy procurred_Female,No of RPLI Policy procurred_Others
01-04-2024,1186,952,0,2147,1928,0
02-04-2024,892,646,1,1783,1461,0
03-04-2024,512,368,0,954,830,0
04-04-2024,1005,728,0,1857,1433,1
05-04-2024,756,511,0,1174,996,0
06-04-2024,1025,629,0,1634,1344,0
07-04-2024,28,22,0,54,54,0
08-04-2024,1043,718,0,1780,1540,0
09-04-2024,1005,597,1,1947,1591,0
10-04-2024,1147,824,0,1787,1536,0
11-04-2024,78,56,0,122,71,0
12-04-2024,30,27,0,29,32,0
13-04-2024,938,657,0,1295,1156,0
14-04-2024,36,36,0,252,122,0
15-04-2024,1259,845,0,1827,1530,0
16-04-2024,1292,869,0,1942,1881,0
17-04-2024,911,812,0,1451,1444,3
18-04-2024,1056,750,0,2214,1414,0
19-04-2024,843,531,0,1467,1308,0
20-04-2024,0,0,0,0,0,0
21-04-2024,0,0,0,0,0,0
22-04-2024,1151,770,0,1741,1547,1
23-04-2024,975,755,0,1582,1511,0
24-04-2024,1201,899,0,2051,1847,0
25-04-2024,1196,839,0,1945,1613,0
26-04-2024,1107,822,0,2003,1981,1
27-04-2024,1219,935,0,2300,2364,0
28-04-2024,166,98,0,243,329,0
29-04-2024,1363,1023,0,2247,2137,1
30-04-2024,1736,1412,0,3312,3434,1
01-05-2024,915,772,0,1522,1860,0
02-05-2024,661,504,0,1153,1002,0
03-05-2024,657,465,0,1238,1147,0
04-05-2024,786,570,0,1409,1219,0
05-05-2024,17,5,0,93,26,0
06-05-2024,774,602,1,1307,1275,0
07-05-2024,822,631,0,1509,1551,0
08-05-2024,981,781,0,1843,1648,2
09-05-2024,1010,715,0,1702,1593,0
10-05-2024,993,827,0,1847,1686,1
11-05-2024,749,612,0,1333,1157,0
12-05-2024,13,11,0,18,17,0
13-05-2024,775,594,0,1464,1272,0
14-05-2024,870,745,0,1327,1328,1
15-05-2024,1432,1103,1,2494,2545,1
16-05-2024,2068,1564,0,3842,3462,0
17-05-2024,1866,1328,0,4303,3845,0
18-05-2024,1466,1042,0,3675,3371,0
19-05-2024,390,263,0,1777,1513,0
20-05-2024,431,363,0,559,658,0
21-05-2024,194,215,0,215,364,0
22-05-2024,364,364,0,504,639,0
23-05-2024,7,14,0,45,41,0
24-05-2024,462,439,0,567,666,0
25-05-2024,441,419,0,519,606,0
26-05-2024,2,1,0,3,6,0
27-05-2024,550,443,0,743,907,0
28-05-2024,718,640,0,969,1115,0
29-05-2024,710,617,0,839,1009,0
30-05-2024,787,733,1,1272,1634,0
31-05-2024,886,713,0,1375,1517,0
01-06-2024,474,394,0,755,675,0
02-06-2024,5,8,0,16,18,0
03-06-2024,468,381,0,691,685,0
04-06-2024,482,403,0,842,780,0
05-06-2024,740,630,0,1203,1191,1
06-06-2024,821,621,0,1293,1355,0
07-06-2024,733,626,0,1224,1218,1
08-06-2024,751,699,0,1117,1154,0
09-06-2024,6,6,0,1,0,0
10-06-2024,745,606,0,1202,1191,0
11-06-2024,795,640,0,1483,1571,0
12-06-2024,733,613,0,1203,1333,0
13-06-2024,954,840,0,1623,1777,0
14-06-2024,940,845,0,1357,1445,0
15-06-2024,929,821,0,1405,1429,0
16-06-2024,29,21,0,68,75,0
17-06-2024,1,5,0,7,26,0
18-06-2024,1006,840,0,1482,1452,0
19-06-2024,1092,914,1,1416,1512,0
20-06-2024,1061,948,1,1546,1531,0
21-06-2024,1096,900,0,1630,1822,0
22-06-2024,1314,1124,0,2047,2159,0
23-06-2024,32,31,0,186,149,0
24-06-2024,1274,1109,0,1739,1884,1
25-06-2024,1147,888,0,1871,2021,0
26-06-2024,1184,888,0,1885,1886,0
27-06-2024,1137,976,0,2058,2011,0
28-06-2024,1244,1042,0,2080,2124,0
29-06-2024,1363,1201,0,2834,3136,0
30-06-2024,97,53,0,214,177,0
01-07-2024,710,542,0,1318,1308,0
02-07-2024,809,680,0,1696,1717,0
03-07-2024,899,735,0,1948,1994,0
04-07-2024,1001,852,0,1972,1860,1
05-07-2024,996,780,0,2079,2040,0
06-07-2024,981,826,0,1974,1936,0
07-07-2024,7,10,0,33,29,0
08-07-2024,1058,849,0,2212,2133,0
09-07-2024,1091,953,0,2138,1908,1
10-07-2024,1161,882,0,2102,1995,0
11-07-2024,1178,839,0,2120,1880,0
12-07-2024,1185,936,0,1934,1904,1
13-07-2024,1262,957,0,2070,2021,0
14-07-2024,35,15,0,69,40,0
15-07-2024,1281,957,0,2021,2077,1
16-07-2024,1493,1051,0,2260,2150,0
17-07-2024,88,133,0,182,241,0
18-07-2024,1345,951,0,2002,1983,0
19-07-2024,1347,1054,1,2007,2072,1
20-07-2024,1393,1149,0,2321,2430,0
21-07-2024,51,25,0,160,88,0
22-07-2024,1214,917,0,2158,2269,0
23-07-2024,1149,960,1,1952,2034,0
24-07-2024,1231,1063,0,2048,2283,0
25-07-2024,1281,1050,0,2044,2028,0
26-07-2024,1331,1135,1,2371,2232,1
27-07-2024,1299,1053,0,2273,2535,1
28-07-2024,55,23,0,88,52,0
29-07-2024,1271,1039,0,2304,2353,1
30-07-2024,1606,1225,0,2907,3018,0
31-07-2024,1637,1343,0,3409,3602,0
01-08-2024,872,649,0,1731,1708,0
02-08-2024,1042,791,0,1960,1882,0
03-08-2024,910,725,1,2046,1994,0
04-08-2024,32,27,0,50,47,0
05-08-2024,926,709,0,1967,2024,0
06-08-2024,1121,894,0,1930,1987,0
07-08-2024,989,760,0,1705,1656,0
08-08-2024,1188,843,0,2066,2159,0
09-08-2024,1309,1026,0,2077,1976,0
10-08-2024,1366,1114,0,2002,1920,0
11-08-2024,12,14,0,35,47,0
12-08-2024,1317,1075,0,2033,2109,0
13-08-2024,1233,1098,0,2069,2101,0
14-08-2024,1428,1200,0,2248,2296,0
15-08-2024,8,4,0,4,11,0
16-08-2024,1317,944,0,1966,1952,0
17-08-2024,1288,983,0,2066,1926,0
18-08-2024,32,20,0,107,52,0
19-08-2024,806,674,0,1318,1417,0
20-08-2024,1247,1015,0,1951,1926,1
21-08-2024,1156,859,1,1663,1718,0
22-08-2024,1357,1027,0,1920,1976,1
23-08-2024,1046,959,0,1870,1852,1
24-08-2024,1124,929,0,1804,1830,0
25-08-2024,77,51,0,110,133,0
26-08-2024,930,986,0,1382,1738,0
27-08-2024,1346,1177,0,2102,2193,0
28-08-2024,1448,1193,0,2618,2637,0
29-08-2024,1559,1336,0,2592,2590,0
30-08-2024,1468,1339,0,2802,3026,0
31-08-2024,1654,1475,0,3330,3634,0
01-09-2024,20,18,0,114,134,0
02-09-2024,787,626,0,1503,1602,0
03-09-2024,922,790,0,1778,1770,0
04-09-2024,992,802,0,2030,1990,1
05-09-2024,903,756,0,1917,1992,0
06-09-2024,906,756,0,1592,1637,1
07-09-2024,590,411,0,1281,1044,0
08-09-2024,13,6,0,19,7,0
09-09-2024,939,760,0,1702,1897,0
10-09-2024,1015,783,0,2159,2117,0
11-09-2024,1137,933,0,1883,2070,0
12-09-2024,1215,984,1,1814,1950,1
13-09-2024,1294,1052,0,2211,2262,0
14-09-2024,1345,1046,0,2188,2301,0
15-09-2024,27,11,0,47,59,0
16-09-2024,355,387,0,334,506,0
17-09-2024,1005,730,1,1723,1735,0
18-09-2024,1419,1190,0,2224,2362,2
19-09-2024,1459,1097,1,2322,2548,1
20-09-2024,1503,1252,1,2341,2327,1
21-09-2024,1384,1203,1,2439,2594,1
22-09-2024,63,55,0,146,147,0
23-09-2024,1524,1276,0,2713,2957,0
24-09-2024,1417,1101,0,2619,2755,1
25-09-2024,1321,1001,0,2215,2359,0
26-09-2024,1555,1298,0,2640,2641,1
27-09-2024,1438,1299,0,2754,2960,1
28-09-2024,1664,1496,0,3344,3597,1
29-09-2024,130,92,0,361,399,1
30-09-2024,1743,1510,1,3438,3522,1
01-10-2024,844,749,0,1457,1413,0
02-10-2024,45,31,0,143,112,0
03-10-2024,987,819,0,2069,2204,1
04-10-2024,992,851,0,2121,2286,0
05-10-2024,1052,920,0,2184,2143,1
06-10-2024,60,24,0,124,97,0
07-10-2024,1052,828,1,2041,2081,0
08-10-2024,1089,886,0,2258,2450,0
09-10-2024,873,654,0,1491,1502,1
10-10-2024,568,491,0,1055,1101,0
11-10-2024,599,413,0,1091,910,0
12-10-2024,62,107,0,59,72,0
13-10-2024,13,4,0,49,21,0
14-10-2024,1294,1092,0,1764,1931,1
15-10-2024,1315,1058,0,2183,2194,0
16-10-2024,1308,1180,0,2197,2363,0
17-10-2024,1483,1178,0,2297,2514,0
18-10-2024,1558,1158,0,2153,2245,0
19-10-2024,1457,1215,0,2269,2430,0
20-10-2024,125,66,0,158,134,0
21-10-2024,1650,1269,1,2523,2568,0
22-10-2024,1792,1463,0,2632,2816,0
23-10-2024,1825,1473,0,3130,3229,2
24-10-2024,1653,1303,0,2847,3095,0
25-10-2024,1752,1322,0,3033,3342,0
26-10-2024,1601,1243,0,2842,2938,0
27-10-2024,53,26,0,107,59,0
28-10-2024,1303,1091,0,2342,2491,0
29-10-2024,1306,937,0,1991,2001,0
30-10-2024,1835,1579,0,3536,4061,2
31-10-2024,59,66,0,160,197,0
01-11-2024,914,775,1,1604,1795,0
02-11-2024,802,713,0,1717,1820,0
03-11-2024,2,1,0,28,20,0
04-11-2024,965,845,0,1819,2016,1
05-11-2024,1087,809,0,1963,2018,0
06-11-2024,1075,813,0,1920,1941,0
07-11-2024,1104,919,0,1836,1819,1
08-11-2024,1214,1100,0,2189,2283,0
09-11-2024,1497,1221,0,2213,2307,1
10-11-2024,85,45,0,160,95,0
11-11-2024,1385,1104,0,2419,2492,1
12-11-2024,1421,1276,0,2487,2342,0
13-11-2024,1554,1212,0,2368,2426,1
14-11-2024,1392,1075,0,2145,2231,1
15-11-2024,47,72,0,40,36,0
16-11-2024,1246,1013,0,1803,1934,1
17-11-2024,9,6,0,13,17,0
18-11-2024,1443,1138,0,2153,2227,1
19-11-2024,1291,1058,0,1995,2182,0
20-11-2024,1070,833,0,1680,1819,0
21-11-2024,1253,978,0,2072,2152,0
22-11-2024,1297,1110,0,2218,2246,1
23-11-2024,1377,1243,0,1957,2304,0
24-11-2024,104,66,0,336,354,0
25-11-2024,1506,1174,0,2486,2468,0
26-11-2024,1488,1091,0,2506,2684,1
27-11-2024,1650,1205,0,2690,2920,0
28-11-2024,1796,1418,0,2878,2846,1
29-11-2024,1961,1524,0,3367,3628,1
30-11-2024,1923,1565,0,3378,3553,0
01-12-2024,41,18,0,32,18,0
02-12-2024,798,575,0,1278,1222,0
03-12-2024,1136,901,0,1842,1910,0
04-12-2024,1212,934,1,1689,1767,0
05-12-2024,1187,828,0,1706,1628,0
06-12-2024,1286,964,0,1870,1768,0
07-12-2024,1138,953,0,1819,1833,0
08-12-2024,46,31,0,58,64,0
09-12-2024,854,614,0,1299,1223,0
