Date of Transaction,No of CBS Transactions
01-04-2024,365268
02-04-2024,284487
03-04-2024,5501729
04-04-2024,3899238
05-04-2024,4236324
06-04-2024,4421020
07-04-2024,8181
08-04-2024,4976784
09-04-2024,3481388
10-04-2024,5222929
11-04-2024,262922
12-04-2024,5708852
13-04-2024,5874534
14-04-2024,3733
15-04-2024,9291494
16-04-2024,3762332
17-04-2024,2227069
18-04-2024,3158635
19-04-2024,2753558
20-04-2024,4643995
21-04-2024,3337
22-04-2024,4249336
23-04-2024,3902549
24-04-2024,4765357
25-04-2024,4120422
26-04-2024,3508906
27-04-2024,4757377
28-04-2024,3162
29-04-2024,6744210
30-04-2024,6234216
01-05-2024,2341349
02-05-2024,2738108
03-05-2024,3016360
04-05-2024,4406719
05-05-2024,7351
06-05-2024,4179107
07-05-2024,3397228
08-05-2024,3630114
09-05-2024,3813624
10-05-2024,3756307
11-05-2024,3881783
12-05-2024,3809
13-05-2024,4083687
14-05-2024,4383308
15-05-2024,8460449
16-05-2024,2805726
17-05-2024,2980233
18-05-2024,3885356
19-05-2024,2963
20-05-2024,3290506
21-05-2024,3411766
22-05-2024,4068005
23-05-2024,95959
24-05-2024,4708063
25-05-2024,4002737
26-05-2024,3057
27-05-2024,4642381
28-05-2024,5575131
29-05-2024,4850744
30-05-2024,4518465
31-05-2024,3968557
01-06-2024,2850318
02-06-2024,9824
03-06-2024,2841409
04-06-2024,2950713
05-06-2024,3239289
06-06-2024,3767339
07-06-2024,3340056
08-06-2024,3583078
09-06-2024,4321
10-06-2024,3933943
11-06-2024,3778465
12-06-2024,3754864
13-06-2024,3999873
14-06-2024,3906925
15-06-2024,9540309
16-06-2024,3418
17-06-2024,6915
18-06-2024,3893013
19-06-2024,3478895
20-06-2024,3741260
21-06-2024,3580865
22-06-2024,3947671
23-06-2024,8579
24-06-2024,4282851
25-06-2024,4289553
26-06-2024,4145832
27-06-2024,4569252
28-06-2024,5352215
29-06-2024,7489292
30-06-2024,6601
01-07-2024,5418556
02-07-2024,2551914
03-07-2024,2699131
04-07-2024,2791015
05-07-2024,2840310
06-07-2024,3747228
07-07-2024,6248
08-07-2024,3741818
09-07-2024,3472279
10-07-2024,4167059
11-07-2024,4038361
12-07-2024,4196708
13-07-2024,4223232
14-07-2024,3936
15-07-2024,8866035
16-07-2024,3676266
17-07-2024,171590
18-07-2024,4298324
19-07-2024,3475321
20-07-2024,4144879
21-07-2024,3164
22-07-2024,3867945
23-07-2024,3793936
24-07-2024,3659496
25-07-2024,3819159
26-07-2024,3935327
27-07-2024,4407904
28-07-2024,3045
29-07-2024,4950966
30-07-2024,4846101
31-07-2024,4394585
01-08-2024,2725007
02-08-2024,2530561
03-08-2024,3136767
04-08-2024,7964
05-08-2024,3091302
06-08-2024,3113751
07-08-2024,3105760
08-08-2024,3340641
09-08-2024,3793720
10-08-2024,4332476
11-08-2024,4335
12-08-2024,4619216
13-08-2024,4671716
14-08-2024,10480623
15-08-2024,4365
16-08-2024,3363314
17-08-2024,3892861
18-08-2024,3691
19-08-2024,2680074
20-08-2024,3071748
21-08-2024,3560522
22-08-2024,3528343
23-08-2024,3676321
24-08-2024,4392582
25-08-2024,3079
26-08-2024,1951945
27-08-2024,4385433
28-08-2024,4425357
29-08-2024,4574008
30-08-2024,4521213
31-08-2024,4865641
01-09-2024,26398
02-09-2024,2578472
03-09-2024,2608188
04-09-2024,2711576
05-09-2024,2809662
06-09-2024,3358253
07-09-2024,2448238
08-09-2024,36772
09-09-2024,3551875
10-09-2024,3561889
11-09-2024,3730188
12-09-2024,4264455
13-09-2024,5031756
14-09-2024,3463790
15-09-2024,4369
16-09-2024,325092
17-09-2024,2782614
18-09-2024,3141929
19-09-2024,3073557
20-09-2024,3342968
21-09-2024,3840815
22-09-2024,3390
23-09-2024,3978492
24-09-2024,3807283
25-09-2024,3929644
26-09-2024,3843927
27-09-2024,4453884
28-09-2024,5179384
29-09-2024,4164
30-09-2024,7488151
01-10-2024,6894026
02-10-2024,3288959
03-10-2024,6641369
04-10-2024,2886797
05-10-2024,4095707
06-10-2024,7649
07-10-2024,4067568
08-10-2024,3712653
09-10-2024,3900275
10-10-2024,5297675
11-10-2024,2727045
12-10-2024,129503
13-10-2024,291108
14-10-2024,5013620
15-10-2024,9619433
16-10-2024,3313585
17-10-2024,3022249
18-10-2024,3672662
19-10-2024,3732935
20-10-2024,3901
21-10-2024,3752327
22-10-2024,3866169
23-10-2024,3868989
24-10-2024,3474740
25-10-2024,3789603
26-10-2024,4258758
27-10-2024,3745
28-10-2024,4995531
29-10-2024,5042226
30-10-2024,5455473
31-10-2024,140561
01-11-2024,1863589
02-11-2024,2848230
03-11-2024,9580
04-11-2024,2623120
05-11-2024,2660432
06-11-2024,2886000
07-11-2024,2785102
08-11-2024,2886876
09-11-2024,3649972
10-11-2024,5838
11-11-2024,4246224
12-11-2024,5052789
13-11-2024,4619237
14-11-2024,10243799
15-11-2024,262254
16-11-2024,3698348
17-11-2024,355
18-11-2024,3385571
19-11-2024,3783518
20-11-2024,3622018
21-11-2024,3671071
22-11-2024,3551630
23-11-2024,3870532
24-11-2024,3592
25-11-2024,4314629
26-11-2024,4102048
27-11-2024,4157016
28-11-2024,4294795
29-11-2024,4766085
30-11-2024,6049878
01-12-2024,15518
02-12-2024,2551000
03-12-2024,2552302
04-12-2024,2703653
05-12-2024,2886000
06-12-2024,2894235
07-12-2024,3542454
08-12-2024,6707
